id;question;tags
1;How has your perspective on your career changed over time?;career
2;What's a professional setback or shortfall you recently experienced, and how has it influenced you?;career
3;What are your biggest goals between now and the next issue of our Letterloop?;career
4;What is one action that would make today a success?;career
5;What do you consider as red flags in a potential employer or boss?;career
6;Have societal or familial expectations ever led you to a career decision that you wouldn't have made on your own? How do you feel about that decision now?;career
7;Does your current job challenge you to grow in the ways you truly want? If not, what’s missing?;career
8;What's a funny or embarrassing moment you’ve had at work?;career
9;What’s one of your earliest memories of earning money?;career
10;Have you attended any interesting work-related seminars or workshops lately?;career
11;What's the most significant risk you've taken in your career, and how did it turn out?;career
12;What's the most challenging ethical dilemma you've faced in your career?;career
13;What was a pivotal moment in your career that led you to where you are now?;career
14;What areas of personal development do you feel you need to focus on to to achieve further professional success?;career
15;How much of your decision to stay in your current job is influenced by comfort and fear versus ambition and fulfillment?;career
16;What do you feel like you’re really good at?;career
17;What do you plan to learn in the coming days?;career
18;If you could try out any other profession for a day, what would it be?;career
19;What's a recent disagreement or conflict you had in the workplace? How did you handle it?;career
20;When you think of the legacy you want to leave, does your current job contribute to that vision?;career
21;What's a significant professional challenge you overcame in the last year?;career
22;Do you feel challenged enough at work?;career
23;What's a book or podcast you'd recommend that’s related to your career?;career
24;What's your least favorite part of your job and why?;career
25;Looking back, what's one decision you made that was a leap of faith? How did it shape where you are today?;career
26;How do you describe your current job to someone who's not in your industry?;career
27;What skills or passions are you not currently utilizing in your job?;career
28;What were some of my most challenging learning moments in your career, and what made them so?;career
29;Have you ever had to negotiate salary or a promotion? What's your strategy?;career
30;What trends do you foresee in your industry in the next five years?;career
31;How well do you feel your work aligns with your purpose or identity?;career
32;What's a common myth about your profession that you can debunk?;career
33;What's a goal or project you've made progress on?;career
34;What's the most enjoyable project you've worked on recently?;career
35;What legacy do you hope to leave as a result of your professional work?;career
36;How do you reconcile the need for financial stability with the desire to pursue a passion that might be less lucrative?;career
37;What career decisions have you made based on fear? What decisions have been based on confidence?;career
38;On a scale of 1 to 10, how valued do you feel at work?;career
39;Have you ever had a mentor, and what was the most important thing they taught you?;career
40;Explain your job to a 3 year old.;career
41;What profession would you be in if you had known about it earlier?;career
42;If you could have a superpower that helps you in your current job, what would it be?;career
43;What do you consider as red flags in a potential employee or coworker?;career
44;What's the most important lesson you've learned about leadership?;career
45;What's a skill you use at work that you also use in your personal life?;career
46;How do you contribute to a positive work environment or culture?;career
47;How do you approach networking, and have you had any success stories?;career
48;What was your first job, and what did it teach you?;career
49;What's the best career advice you've ever received?;career
50;What's your go-to productivity hack?;career
51;What’s your best tip for staying focused and productive?;career
52;How has your industry changed since you started your career?;career
53;What would you consider to be a 'dream job', and how close is your current job to that ideal?;career
54;What's a fun project you've worked on recently?;career
55;How do you measure the impact of your work on society?;career
56;Who had the most significant impact on your career and why?;career
57;How do you think your profession will change in the future, and how are you preparing for it?;career
58;What's one thing you wish you had known when you started your career?;career
59;What's one piece of critical feedback you've received? How did you act on it?;career
60;What would make you feel like "you made it"?;career
61;What professional accomplishment are you most proud of and why?;career
62;Have any failures played a significant role in your your career development?;career
63;What's one work-related skill you'd like to develop, and why?;career
64;Have you picked up any new skills at your job this year?;career
65;Have you ever made a dramatic career shift, and what drove that decision?;career
66;How do you stay updated with the latest developments in your field?;career
67;In what ways do you mentor or support others in your field?;career
68;Thinking about your current #1 goal, what makes you optimistic you'll achieve it?;career
69;What’s your take on the common career advice to "follow your passion"?;career
70;Are you currently mentoring anyone, or being mentored? How is that going?;career
71;Where do you see yourself professionally a year from now?;career
72;What tools or apps do you find indispensable for your work?;career
73;How can you better help others succeed, especially those who often go unnoticed?;career
74;What’s your strategy for professional growth?;career
75;Would the best version of yourself be in your current job? If not, what keeps you there?;career
76;How do you balance work and personal life?;career
77;How do you stay productive and motivated when working from home?;career
78;How do you prioritize your tasks when everything seems urgent?;career
79;How would you describe your approach to your career so far?;career
80;How has your perspective on work-life balance evolved over the years, and what influences shaped this?;career
81;What would people be surprised to learn you spend a lot of time on at work?;career
82;If you could have witnessed one event from your family history, what would it be?;worldview
83;Do you believe in second chances?;worldview
84;What's the most likely cause for the end of humanity, and how do we stop it?;worldview
85;What was the scariest moment of your life thus far?;worldview
86;If your life was a story, what chapter would you currently be in, and what would its title be?;worldview
87;What's something you're you proud of, but never have an excuse to talk about?;worldview
88;Imagine you could instill one habit in your child that they would carry for life. What habit would you choose and why?;worldview
89;After death, you can roam the universe and observe anything you want for all eternity, but never interact with anyone or anything. Or, you can cease to exist. Which would you choose?;worldview
90;If you could choose one experience from your life that your child could also have, what would it be?;worldview
91;If you could intervene during any historic event, changing history, what would it be? How would things unfold differently?;worldview
92;Is there anything you think your generation does better than the next generation?;worldview
93;What is one your core principles in life that is guiding you at this time?;worldview
94;What's your philosophy in life?;worldview
95;You can go back in time and experience any historical event. Where do you go, and when?;worldview
96;What is your why? What gets you up in the morning?;worldview
97;Have you ever had an epiphany? What was it about, and what sparked the realization?;worldview
98;What's an unconventional piece of advice that has had a significant impact on your life?;worldview
99;You can guarantee that your child will have a deep understanding of one event in history. Which event do you choose and why?;worldview
100;What makes you optimistic about the future?;worldview
101;What's an unpopular or controversial opinion that you hold?;worldview
102;Who do you wish was still alive? Could be someone you've met, never met, anyone.;worldview
103;What's your favorite quote and why?;worldview
104;What advice would you give to your teenage self?;worldview
105;If you could instantly bankrupt any person, company, country, or organization, who would it be?;worldview
106;If you had the power to completely eradicate one disease, which would you choose to eliminate?;worldview
