id,question,category,danger
1,"In what ways are you inhibited from expressing love?",personal,0
2,"What difficult or painful experience would you recommend to everyone?",personal,0
3,"What's the most intense emotional pain you've ever experienced?",personal,0
4,"In what ways don't you trust yourself?",personal,0
5,"How have you disappointed your parents?",personal,0
6,"What about yourself have you been trying to fix for a long time?",personal,0
7,"How would you raise a child differently from how your parents raised you?",personal,0
8,"What was the last thing you cried about? When was it?",personal,0
9,"What was the most difficult thing you've ever had to do?",personal,0
10,"In what ways do you tend to fail at communication?",personal,0
11,"What is currently your greatest insecurity?",personal,0
12,"Which of your habits conflicts with your values?",personal,0
13,"What aspect about the person to your left gives you the strongest negative feeling?",personal,0
14,"What do you still owe someone an apology for?",personal,0
15,"What's the most sick (mental or physical) you've ever been?",personal,0
16,"Who do you hate most?",personal,0
17,"What is your biggest obstacle toward peace?",personal,0
18,"What about your appearance would you like to change?",personal,0
19,"What have you done that you are most ashamed of?",personal,0
20,"Are you afraid of death? Why or why not?",personal,0
21,"How do you heal from painful experiences? How do you know when you're done healing?",personal,0
22,"What was your biggest financial mistake?",personal,0
23,"What's the most intense physical pain you've ever experienced?",personal,0
24,"How often and in what ways does fear show up in you?",personal,0
25,"Which have you planned in greater detail: killing yourself, or killing someone else?",personal,0
26,"Who in this room would you most like to have sex with?",relationship,2
27,"If everyone in the room were arranged on a spectrum of attractiveness, which two people would you be between?",relationship,0
28,"What problems do you see in the relationships of those around you?",relationship,0
29,"You have to marry someone in this room right now. Who is it?",relationship,1
30,"Is there anything which arouses you that you've never admitted to anybody?",relationship,2
31,"What unusual trait do you find most attractive in a romantic partner?",relationship,0
32,"Out of all your past sexual experiences, what has made you the most uncomfortable?",relationship,2
33,"If you were invited to an all-nude party, where all the participants are required to be naked the whole time, would you go?",relationship,1
34,"When you introspect, away from society and your physical body, deep inside, do you feel a sense of gender?",relationship,1
35,"What were the conditions of your last break-up?",relationship,0
36,"If you had to choose one, would you rather double or halve your sex drive?",relationship,1
37,"Would you rather fuck your girlfriend who is inhabiting your mother's body, or your mother who is inhabiting your girlfriend's body? (If you date men, switch it to boyfriend and father.)",relationship,2
38,"In total, have you given or received more oral sex?",relationship,2
39,"What's one of the most adventurous things you've ever done in bed?",relationship,2
40,"Would you date yourself?",relationship,0
41,"What percentage of your preferred age/gender demographic would you be down to have sex with after roughly an hour of flirting?",relationship,1
42,"Have you ever been in an open or polyamorous relationship? If not, would you consider it?",relationship,2
43,"Could you have a serious relationship with someone who expressed that they thought they were unworthy of the relationship?",relationship,0
44,"Have you ever dated someone who you felt was below your standards?",relationship,0
45,"How easy is it for you to orgasm?",relationship,2
46,"Do you ever feel guilt or shame for romantically rejecting people who are interested in you?",relationship,0
47,"If you could press a button and double the sex drive of all women on earth, would you do it?",relationship,2
48,"If you tried, could you list the names of everyone you've had sex with?",relationship,2
49,"Are yelling fights in relationships more typical and inevitable, or terrible and avoidable?",relationship,0
50,"What was your most disappointing sexual experience?",relationship,2
51,"What emotion/feeling are you currently suppressing or ignoring?",sad,0
52,"Who in the room do you admire the most?",sad,0
53,"Did your parents do a good job?",sad,0
54,"What are the signs that someone understands you uniquely?",sad,0
55,"What is the best advice you've received, and why did you need it?",sad,0
