level,id,is_wildcard,question
1,1,0,"Do you think I'm mainly cooking, or getting take out?"
1,2,0,Do you think that I've ever been in love?
1,3,0,Do you think that I've ever had my heart broken?
1,4,0,What do you think I've been binge watching lately? 
1,5,0,What do you think has been my go to snack during this time?
1,6,0,What time do you think I've been waking up these days?
1,7,0,What was your first impression of me?
1,8,0,What do you think I do for a living?
1,9,0,What about me is the most strange/unfamiliar to you?
1,10,0,What is the worst assumption someone has made about you?
1,11,0,What do you think my name is?
1,12,0,What does my style tell you about me?
1,13,0,Do you think I was popular in school? Explain.
1,14,0,"On a scale of 1-10, how clean do you think my car is? 1 being cleanest, 10 a complete disaster. Explain."
1,15,0,Do you think I've ever checked my ex's phone for evidence?
1,16,0,Who do you think my celebirty crush is?
1,17,0,What is my body language telling you right now?
1,18,0,What does my phone wallpaper say about me?
1,19,0,What's the first thing you noticed about me?
1,20,0,"Finish the sentence: Just by looking at you, I'd think ____."
1,21,0,What about me intrigues you?
1,22,0,What do you think I'm most likely to splurge on?
1,23,0,Do I look kind? Explain.
2,1,0,What are you most excited for today? Big or small.
2,2,0,What would feel best to fully accept in this current moment?
2,3,1,Share your screen time. Both players.
2,4,0,What can you create during this time with exactly what you have? Big or small.
2,5,0,What's the most fun you've had during this time?
2,6,0,What's the most valuable lesson this time has taught you so far?
2,7,0,What's been the hardest part of all this for you?
2,8,1,Staring contest! First to smile must reveal what their kitchen looks like in the current moment.
2,9,0,What movie do you wish you'd never seen so you can watch it for the first time during quarantine?
2,10,0,What's been the kindest thing someone has done for you during this time? What's the kindest thing you've done for yourself?
2,11,1,Share your most played song at the moment.
2,12,0,"When quarantining is behind us, what change do you want to make in your day to day life, if any?"
2,13,0,What is your defining characteristic?
2,14,0,What's your fathers name and one thing about him?
2,15,0,How are you really?
2,16,0,What is the last thing you lied to your mom about?
2,17,0,What's the most pain you've ever been in that wasn't physical?
2,18,0,What's the most unexplainable thing that's ever happened to you?
2,19,0,What have the past few weeks taught you?
2,20,1,Call someone you admire. Let them know why you appreciate them.
2,21,0,What have I tolerated from people in the past that I no longer have space for?
2,22,0,Something that brought a smile to my face this week was ____.
2,23,0,What are you feeling a lot of lately?
2,24,0,What do you need right now but aren't communicating?
2,25,0,What are you currently working through that others don't see?
2,26,0,What was your biggest turning point in your dating life?
2,27,0,What are you overthinking right now?
2,28,0,What did your last relationship teach you about yourself?
2,29,0,What belief about yourself no longer serves you?
2,30,1,Set an intention for this week. Stick to it.
2,31,0,Who in your life can ou be most vulnerable with?
2,32,0,Which one of your parents personality traids do you want to keep/let go of?
2,33,0,Think of someone you admire. Why did this person come to mind?
2,34,0,Are you lying to yourself about anything?
2,35,0,What's your favourite part of yourself that isn't physical?
2,36,0,What's the hardest part of dating you?
2,37,0,What do you need to forgive yourself for?
2,38,0,What's the hardest lesson you've learned in love?
2,39,1,Be more interested in understanding others than being understood.
